Account Number,Last Name,First Name,Gender,Account Tier,Balance,Overdraft Protection
7799533,Kinkle,Harvey,M,Gold,75,0
7809344,Scratch,Nicolas,M,Classic,500,0
7819355,Putnam,Theo,M,Classic,90,1
7779311,Spellman,Sabrina,F,Platinum,800,1
7789422,Spellman,Ambrose,M,Platinum,1100,0
7829366,Spellman,Hilda,F,Classic,400,1
7839477,Spellman,Zelda,F,Gold,500,1
7855044,Walker,Rosalind,F,Gold,500,1
7846033,Blackwood,Faustus,M,Platinum,1200,0
7855511,Gray,Dorian,M,Classic,350,0
7855522,Blackwood,Prudence,F,Platinum,900,1
7869844,Night,Dorcas,F,Gold,550,0
7969366,Night,Agatha,F,Gold,650,1
